"municipio";"low_cost";"rotulo";"mean(precio_gasoleo_a, na.rm = TRUE)";"mean(precio_gasolina_95_e5_premium, na.rm = TRUE)";"max(precio_gasoleo_a, na.rm = TRUE)";"max(precio_gasolina_95_e5_premium, na.rm = TRUE)";"min(precio_gasoleo_a, na.rm = TRUE)";"min(precio_gasolina_95_e5_premium, na.rm = TRUE)"
"Pedro Abad";FALSE;"BP";1.389;NA;1.389;-Inf;1.389;Inf
"Pedro Bernardo";FALSE;"REPSOL";1.419;NA;1.419;-Inf;1.419;Inf
"Pedro Muñoz";FALSE;"REPSOL";1.394;1.529;1.399;1.529;1.389;1.529
"Pedro Muñoz";FALSE;"CEPSA";1.394;1.529;1.399;1.529;1.389;1.529
"Pedro Muñoz";TRUE;"GALP ENERGIA ESPAÑA, S.A.U.";1.3195;NA;1.349;-Inf;1.29;Inf
"Pedro Muñoz";TRUE;"SUMNISTROS AGRICOLAS DE PEDRO MUÑOZ S. COOP. DE C-LM";1.3195;NA;1.349;-Inf;1.29;Inf
"Pedroche";TRUE;"AGROPECUARIA DE PEDROCHE";1.278;NA;1.278;-Inf;1.278;Inf
"Pedrola";FALSE;"REPSOL";1.38233333333333;NA;1.389;-Inf;1.379;Inf
"Pedrola";FALSE;"CEPSA";1.38233333333333;NA;1.389;-Inf;1.379;Inf
"Pedrola";FALSE;"CEPSA";1.38233333333333;NA;1.389;-Inf;1.379;Inf
"Pedrola";TRUE;"MARCOTRAN";1.36175;NA;1.41;-Inf;1.319;Inf
"Pedrola";TRUE;"LABOIL, S.L.";1.36175;NA;1.41;-Inf;1.319;Inf
"Pedrola";TRUE;"CAPSA";1.36175;NA;1.41;-Inf;1.319;Inf
"Pedrola";TRUE;"CAPSA";1.36175;NA;1.41;-Inf;1.319;Inf
"Pedroñeras (Las)";FALSE;"CEPSA";1.405;1.578;1.405;1.578;1.405;1.578
"Pedroñeras (Las)";TRUE;"PEDROGAS S.L. (JULIO CHARCO)";1.286;NA;1.319;-Inf;1.253;Inf
"Pedroñeras (Las)";TRUE;"PEDROHERAS E.S.";1.286;NA;1.319;-Inf;1.253;Inf
"Pedrosa del Rey";FALSE;"REPSOL";1.409;NA;1.409;-Inf;1.409;Inf
"Pedrosillo el Ralo";FALSE;"CEPSA";1.395;1.569;1.395;1.569;1.395;1.569
"Pedrosillo el Ralo";FALSE;"CEPSA";1.395;1.569;1.395;1.569;1.395;1.569
"Pedroso (El)";FALSE;"REPSOL";1.399;NA;1.399;-Inf;1.399;Inf
"Pegalajar";TRUE;"S.C.A.STA.MARIA";1.34;NA;1.34;-Inf;1.34;Inf
"Pego";FALSE;"BP";1.369;NA;1.369;-Inf;1.369;Inf
"Pego";TRUE;"RACONS";1.32533333333333;NA;1.339;-Inf;1.308;Inf
"Pego";TRUE;"LOW COST 24H";1.32533333333333;NA;1.339;-Inf;1.308;Inf
"Pego";TRUE;"COOPEGO";1.32533333333333;NA;1.339;-Inf;1.308;Inf
"Pelayos de la Presa";TRUE;"REPSOL   ACTUALIZACION A 15/OCTUBRE/2007";1.445;NA;1.445;-Inf;1.445;Inf
"Peligros";FALSE;"CEPSA";1.37766666666667;NA;1.385;-Inf;1.369;Inf
"Peligros";FALSE;"REPSOL";1.37766666666667;NA;1.385;-Inf;1.369;Inf
"Peligros";FALSE;"REPSOL";1.37766666666667;NA;1.385;-Inf;1.369;Inf
"Peligros";TRUE;"SUR-OIL";1.27433333333333;NA;1.299;-Inf;1.255;Inf
"Peligros";TRUE;"LUBRICANTES MARTIN";1.27433333333333;NA;1.299;-Inf;1.255;Inf
"Peligros";TRUE;"Q8EASY";1.27433333333333;NA;1.299;-Inf;1.255;Inf
"Penagos";FALSE;"CEPSA";1.389;NA;1.389;-Inf;1.389;Inf
"Peñafiel";FALSE;"REPSOL";1.37;NA;1.375;-Inf;1.365;Inf
"Peñafiel";FALSE;"REPSOL";1.37;NA;1.375;-Inf;1.365;Inf
"Peñafiel";TRUE;"COCOPE, S. COOP.";1.309;NA;1.339;-Inf;1.279;Inf
"Peñafiel";TRUE;"AUTOSERVICIO 24H JLZ";1.309;NA;1.339;-Inf;1.279;Inf
"Peñaflor";FALSE;"REPSOL";1.379;NA;1.379;-Inf;1.379;Inf
"Peñaflor";TRUE;"LA MOVIL GRUPO PUERTAS";1.349;NA;1.349;-Inf;1.349;Inf
"Peñalba";FALSE;"CAMPSA";1.379;NA;1.379;-Inf;1.379;Inf
"Peñalba";TRUE;"COOPERATIVA LA VALCUERNA";1.202;NA;1.202;-Inf;1.202;Inf
"Peñalsordo";TRUE;"IBERDOEX";1.299;NA;1.299;-Inf;1.299;Inf
"Peñamellera Baja";FALSE;"REPSOL";1.359;NA;1.359;-Inf;1.359;Inf
"Peñaranda de Bracamonte";TRUE;"AN ENERGETICOS";1.2655;NA;1.267;-Inf;1.264;Inf
"Peñaranda de Bracamonte";TRUE;"MONTE LA REINA";1.2655;NA;1.267;-Inf;1.264;Inf
"Peñarroya-Pueblonuevo";FALSE;"REPSOL";1.354;NA;1.379;-Inf;1.329;Inf
"Peñarroya-Pueblonuevo";FALSE;"REPSOL";1.354;NA;1.379;-Inf;1.329;Inf
"Peñarroya-Pueblonuevo";TRUE;"RS PETROL";1.298;NA;1.319;-Inf;1.277;Inf
"Peñarroya-Pueblonuevo";TRUE;"SECSA";1.298;NA;1.319;-Inf;1.277;Inf
"Peñarroya de Tastavins";TRUE;"SAT. SAN FABIAN";1.204;NA;1.204;-Inf;1.204;Inf
