"rotulo";"direccion";"localidad";"municipio";"id_provincia";"ideess"
"BALLENOIL";"CAMINO AGUILA REAL, 22";"CHICLANA DE LA FRONTERA";"Chiclana de la Frontera";"11";13322
"ESC";"AVENIDA GRANADA, 102";"CHIPIONA";"Chipiona";"11";14891
"BALLENOIL";"CALLE CONSTITUCION, 103";"CHIPIONA";"Chipiona";"11";13826
"PLENOIL";"CARRETERA PRADILLO KM. 1";"CONIL DE LA FRONTERA";"Conil de la Frontera";"11";14967
"PETROLIA";"AVENIDA DE LA MUSICA, 8";"CONIL DE LA FRONTERA";"Conil de la Frontera";"11";13566
"BP";"AUTOVIA AUTOVIA DE LA LUZ KM. 24,400";"CONIL DE LA FRONTERA";"Conil de la Frontera";"11";11642
"BP";"AUTOVIA A48 KM. 24,400";"CONIL DE LA FRONTERA";"Conil de la Frontera";"11";11641
"CARREFOUR";"CARRETERA CN-340, P.K. 17,300 ESQUINA CARRIL JUANA VELA KM. 17300";"CONIL DE LA FRONTERA";"Conil de la Frontera";"11";14761
"CEPSA";"CARRETERA C-344 KM. 53";"GRAZALEMA";"Grazalema";"11";5719
"Q8";"AVENIDA ALCALDE CANTOS ROPERO, S/N";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";14919
"ECONOIL";"CALLE JARDINERIA, 1";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";13222
"ECONOIL";"AVENIDA ALCALDE CANTOS ROPERO, 89";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";12991
"TAMOIL";"POLIGONO SUR MANZANA 23 UE-2H, 1";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";6991
"BALLENOIL";"AVENIDA SANLUCAR,";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";5665
"SHELL";"CARRETERA CIRCUNVALACION KM. 639,8";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";9896
"GACOSUR JEREZ";"CALLE SUDAFRICA, 134";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";12954
"ALCAMPO";"CALLE RONDA AURORA BOREAL, 3";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";12475
"CARREFOUR";"CARRETERA NACIONAL IV ,KM 641 (PTA DEL SUR) KM. 641";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";5599
"REPSOL";"AVENIDA PRESIDENTE ADOLFO SUAREZ, 4";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";6682
"BALLENOIL";"CARRETERA DE LEBRIJA KM. 6";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";14496
"PETROPRIX";"CARRETERA MADRID CADIZ KM. 15";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";13207
"CEPSA";"CARRETERA N-IV KM. 632";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";5686
"BP";"NUEVA RONDA ESTE. GTA.BARRIADA NUEVA";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";5555
"BALLENOIL";"AVENIDA FERNANDO PORTILLO, S/N";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";9960
"BALLENOIL";"AVENIDA EUROPA, S/N";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";5600
"GALP";"CARRETERA A-381 KM. 17";"JEREZ DE LA FRONTERA";"Jerez de la Frontera";"11";11542
"COOPERATIVA LA FLORIDA";"CARRETERA CORTES (DE) KM. 26";"BARCA DE LA FLORIDA (LA)";"Jerez de la Frontera";"11";12595
"REPSOL";"CARRETERA A-381 KM. 11,500";"TORRECERA";"Jerez de la Frontera";"11";12708
"CEPSA";"POLIGONO ZABAL BAJO, 6,3";"LINEA LA CONCEPCION (LA)";"Línea de la Concepción (La)";"11";5699
"BP";"AVENIDA DE CARTAGENA ESQ. CAMINO TORRENUEVA, S/N";"LINEA LA CONCEPCION (LA)";"Línea de la Concepción (La)";"11";13170
"CARREFOUR";"AVENIDA AVDA. DE LA COLONIA, 9";"LINEA LA CONCEPCION (LA)";"Línea de la Concepción (La)";"11";5576
"PLENOIL";"CALLE PERDIZ, 1";"LINEA LA CONCEPCION (LA)";"Línea de la Concepción (La)";"11";14970
